Atributo,Importancia
Peso,0.26675734807611623
Idade,0.09257559686632362
Consumo de Vegetais,0.08373974530594944
Altura,0.08135717239822923
Gênero,0.07199127839870659
Refeições Diárias,0.05249239173830295
Consumo de Álcool,0.05070847217327017
Atividade Física,0.04795287429496126
Uso de Tecnologia,0.04685582531530184
Alimentos entre Refeições,0.04518981495337719
Consumo de Água,0.0446602108770881
Meio de Transporte,0.03546743904101274
Alimentos Calóricos,0.0243936118967688
family_history_yes,0.022746437544265592
family_history_no,0.020118805788089465
Monitoramento de Calorias,0.0088407084961229
Tabagismo,0.004152266836114011
